filesystem,cloud,test-name,elapsed
cross-az-lustre,AWS,"Read CSV, 10KB",0.038
cross-az-lustre,AWS,"Read CSV, 1MB",0.043
cross-az-lustre,AWS,"Read CSV, 100MB",1.938
cross-az-lustre,AWS,"Read CSV, 1GB",17.762
cross-az-lustre,AWS,"DD write, 1GB, 2 Parallel Ops",1.743
cross-az-lustre,AWS,"DD write, 1GB, 4 Parallel Ops",5.121
cross-az-lustre,AWS,"DD write, 1GB, 8 Parallel Ops",12.058
cross-az-lustre,AWS,"DD write, 1GB, 16 Parallel Ops",25.998
cross-az-lustre,AWS,"DD read, 1GB, 2 Parallel Ops",3.526
cross-az-lustre,AWS,"DD read, 1GB, 4 Parallel Ops",6.977
cross-az-lustre,AWS,"DD read, 1GB, 8 Parallel Ops",13.878
cross-az-lustre,AWS,"DD read, 1GB, 16 Parallel Ops",27.723
cross-az-lustre,AWS,"Write CSV, 100MB over 10 files",0.369
cross-az-lustre,AWS,"Read CSV, 100MB over 10 files",4.704
cross-az-lustre,AWS,"Write CSV, 100MB over 100 files",1.242
cross-az-lustre,AWS,"Read CSV, 100MB over 100 files",1.904
cross-az-lustre,AWS,"Write CSV, 100MB over 1000 files",4.307
cross-az-lustre,AWS,"Read CSV, 100MB over 1000 files",14.965
cross-az-lustre,AWS,"Write CSV, 100MB over 10000 files",34.469
cross-az-lustre,AWS,"Read CSV, 100MB over 10000 files",85.351
cross-az-lustre,AWS,"DD write, 10MB over 1000 files, 2 Parallel Ops",5.183
cross-az-lustre,AWS,"DD write, 10MB over 1000 files, 4 Parallel Ops",7.023
cross-az-lustre,AWS,"DD write, 10MB over 1000 files, 8 Parallel Ops",7.95
cross-az-lustre,AWS,"DD write, 10MB over 1000 files, 16 Parallel Ops",14.879
cross-az-lustre,AWS,"DD read, 10MB over 1000 files, 2 Parallel Ops",7.446
cross-az-lustre,AWS,"DD read, 10MB over 1000 files, 4 Parallel Ops",6.88
cross-az-lustre,AWS,"DD read, 10MB over 1000 files, 8 Parallel Ops",6.407
cross-az-lustre,AWS,"DD read, 10MB over 1000 files, 16 Parallel Ops",6.454
cross-az-lustre,AWS,"FST random reads, 100MB over 10*10MB reads",0.51
cross-az-lustre,AWS,"FST random reads, 100MB over 100*1MB reads",0.683
cross-az-lustre,AWS,"FST random reads, 100MB over 1000*100KB reads",2.688
cross-az-lustre,AWS,"FST random reads, 100MB over 10000*10KB reads",26.56
cross-az-lustre,AWS,Read 14 days of CRAN logs with fread,62.269
cross-az-lustre,AWS,Sample 5000 rows from each of 14 CRAN logs with vroom,43.466
rhel8-nfs-same-subnet,AWS,Install MASS,12.882
rhel8-nfs-same-subnet,AWS,Install lattice,13.122
rhel8-nfs-same-subnet,AWS,Install BH,113.261
rhel8-nfs-same-subnet,AWS,"Write CSV, 10KB",0.006
rhel8-nfs-same-subnet,AWS,"Write CSV, 1MB",0.015
rhel8-nfs-same-subnet,AWS,"Write CSV, 100MB",0.415
rhel8-nfs-same-subnet,AWS,"Write CSV, 1GB",5.785
rhel8-nfs-same-subnet,AWS,"Read CSV, 10KB",0.008
rhel8-nfs-same-subnet,AWS,"Read CSV, 1MB",0.012
rhel8-nfs-same-subnet,AWS,"Read CSV, 100MB",0.201
rhel8-nfs-same-subnet,AWS,"Read CSV, 1GB",1.91
rhel8-nfs-same-subnet,AWS,"DD write, 1GB, 2 Parallel Ops",8.517
rhel8-nfs-same-subnet,AWS,"DD write, 1GB, 4 Parallel Ops",20.236
rhel8-nfs-same-subnet,AWS,"DD write, 1GB, 8 Parallel Ops",38.346
rhel8-nfs-same-subnet,AWS,"DD write, 1GB, 16 Parallel Ops",72.29
rhel8-nfs-same-subnet,AWS,"DD read, 1GB, 2 Parallel Ops",3.496
rhel8-nfs-same-subnet,AWS,"DD read, 1GB, 4 Parallel Ops",6.938
rhel8-nfs-same-subnet,AWS,"DD read, 1GB, 8 Parallel Ops",13.858
